BirdID,HR_size,Dead_tree_BA,Elevation,Nat_forest
1,82.93,16,1379,Lassen
2,115.1,3,1463,Lassen
3,59.62,31,1330,Lassen
4,93.1,20,1300,Lassen
5,112.69,2,1245,Lassen
6,71.97,34,1278,Lassen
7,63.36,18,1418,Lassen
8,85.88,21,1490,Lassen
9,138.64,1,1580,Lassen
10,106.09,7,1424,Lassen
11,66.93,21,1339,Lassen
12,130.05,4,1300,Lassen
13,74.86,25,1233,Lassen
14,134.72,2,1319,Plumas
15,41.93,39,1426,Plumas
16,37.63,35,1508,Plumas
17,39.94,34,1336,Plumas
18,49.81,23,1310,Plumas
19,54.33,25,1565,Plumas
20,103.87,22,1534,Plumas
21,77.73,25,1420,Plumas
22,128.88,21,1415,Plumas
23,118.93,11,1360,Plumas
24,107.54,19,1632,Plumas
25,64.8,33,2583,Tahoe
26,88.27,17,2394,Tahoe
27,71.3,32,2443,Tahoe
28,98.1,19,2460,Tahoe
29,90.29,24,2550,Tahoe
30,87.26,8,2449,Tahoe
31,78.99,22,2476,Tahoe
32,104.87,2,2524,Tahoe
