Site,Visit1,Visit2,Visit3,woodveg,time.1,time.2,time.3,Habitat
Site1,1,0,1,0.3,8.68,8.73,5.72,A
Site2,1,1,0,0.05,9.43,7.4,7.58,A
Site3,0,1,1,0.35,8.25,6.7,7.62,B
Site4,1,0,1,0.3,7.77,6.23,7.17,C
Site5,0,0,0,0.1,9.57,9.55,5.73,C
Site6,1,1,1,0.4,9.1,9.12,9.12,C
Site7,0,0,0,0.2,8.6,8.62,6.72,B
Site8,0,0,0,0,8.12,7.92,8.07,B
Site9,0,1,1,0.2,7.63,7.43,7.6,A
Site10,0,0,0,0.15,9.92,5.67,9.72,A
Site11,0,1,0,0.2,9.27,6.22,9.18,B
Site12,1,1,0,0.4,8.83,6.67,8.75,C
Site13,1,1,0,0.7,5.92,6.57,8.8,C
Site14,1,1,0,0.55,6.43,6.07,8.23,B
Site15,1,1,0,0.5,8.9,6.97,8.83,A
Site16,1,0,0,0.4,9.37,6.52,9.78,C
Site17,0,0,0,0.2,9.78,6.05,9.33,C
Site18,0,0,0,0.2,7.52,7.47,8.28,A
Site19,1,1,0,0.15,7.97,7.85,7.9,A
Site20,1,0,1,0.3,8.42,8.27,7.42,B
Site21,0,0,0,0.05,8.73,8.77,6.88,B
Site22,1,1,1,0.7,9.45,8.33,7.38,A
Site23,0,0,0,0.3,8.03,9.57,6.45,B
Site24,1,0,0,0.25,7.57,9.12,6.02,C
Site25,1,0,0,0.4,5.67,7.65,7.98,B
Site26,1,1,1,0.55,6.1,7.1,8.43,C
Site27,1,1,1,0.8,6.55,6.58,8.93,A
Site28,1,1,0,0.45,7.12,5.97,9.43,A
Site29,0,0,0,0.3,5.12,6.18,5.78,C
Site30,1,1,0,0.35,5.55,5.78,6.17,B
Site31,0,0,0,0.3,6.05,5.33,6.58,A
Site32,0,1,1,0.4,6.55,4.9,7.07,A
Site33,1,0,0,0.25,5.47,5.55,8.92,A
Site34,0,0,0,0.05,5.93,6.05,8.47,B
Site35,1,1,0,0.1,6.5,6.62,8.07,B
Site36,0,0,0,0,7.12,7.13,7.55,B
Site37,0,0,0,0.05,7.68,7.68,7.05,C
Site38,0,0,0,0.25,7.02,8.08,8.2,C
Site39,1,0,1,0.7,6.53,8.55,7.65,C
Site40,1,1,1,0.45,6.03,9.03,7.12,A
Site41,1,0,0,0.6,8.53,6.6,9.72,B
Site42,1,0,0,0.1,8.1,7.08,9.23,C
Site43,0,0,0,0.05,8.13,6.05,6.15,C
Site44,0,0,0,0.5,7.42,6.65,6.83,B
Site45,1,1,0,0.35,6.68,7.23,7.38,A
Site46,1,0,0,0.2,6.07,7.63,9.42,A
Site47,1,1,0,0.55,6.57,7.23,9.9,B
Site48,0,1,1,0.35,9.42,5.55,5.67,C
Site49,1,1,1,0.45,8.33,9.25,6.62,B
Site50,1,0,0,0.55,8.83,8.62,6.15,A
